NAME,LATITUDE,LONGITUDE
Deluxe Suite with Bosphorus View,41.03202,28.98465
"Apartment w. garden in Macka, Besiktas, Tesvikiye",41.04436,28.99841
loft/flat 80sqm sea vue teras,41.02939,28.9756
2 kedili daire..  :),40.94984,29.1589
Stylish & Cozy Apartment,41.02842,28.97794
"Unique Bosp. View, with Balcony Modern 24hSecurity",41.03384,28.99164
"Modern , Stylish , 2 min to tram/funicular",41.03373,28.99154
A nice stay in old İstanbul (Balat),41.03426,28.94371
Feel like in your own home in ŞİŞLİ,41.06243,28.98461
Alaaddin Apart Beyoglu,41.03485,28.97919
"Cosy,cheap,very located 1+1 house",41.03457,28.98095
Cozy & Pretty Room in Taksim Square,41.03494,28.97999
"cheap room @Purana Paltan area,Dhak",41.03815,28.97542
Luxury Studio in Beyoglu,41.03162,28.97934
Stylish Studio with Private Patio,41.03162,28.9794
Design Terrace Suit w 24/7 Security,41.03156,28.97933
Stylish Roof Suit in Beyoğlu,41.03158,28.97933
Beyoğlu Gümüşsuyu Güven ve Huzur,41.03603,28.9898
Nice Studio in the City Center ,41.06224,28.98717
Central & peaceful home @ Bostanci,40.95751,29.10458
Stunning Double Room in Besiktas!,41.05251,29.00589
modern new building in asian site,41.00107,29.10075
Exclusive and elite location (1 +1),41.03145,28.98204
Penthouse with great Bosphorus view,41.03438,29.02948
"live like a hip local, w/alcove",41.02587,28.97594
Apartment in the hearth of Beyoglu,41.03595,28.97823
UNBEATABLE LOCATION 2 BEDROOM,41.05136,28.98649
Renting Room with Sea Veaw,41.02282,29.01064
"live like a hip local, w/balcony",41.02735,28.97472
"live like a hip local, 1st floor",41.02599,28.9762
Sweet Flat in Cihangir Cukurcuma,41.03251,28.98255
"Double Room with Kitchen, perfect location",41.02985,28.97615
Economy (Interior Window) Double Room in Pera,41.03,28.97588
Apartment in the Heart of the City6,41.03906,28.98266
Apartment in the Heart of the City4,41.03856,28.983
Apartment in the Heart of the City5,41.03914,28.98302
Studio in the Heart of the City 2,41.03907,28.9827
ModernKing Suite Studio Near Taksim,41.0363,28.98305
"COMFORTABLE, CHIC, MODERN",41.09796,28.96931
Exclusive Flat Balcony,41.03556,28.98965
Tophane-Luxury&Serviced Flat 2+1,41.02762,28.98101
XFLATS-Penthouse with Bosphorus GS,41.03213,28.98043
LOVELY ROOM -Central Kadıkoy-Moda,40.98233,29.02449
"Lovely, bright, historical: Galata ",41.0283,28.97496
"Uptwins Deluxe Residence, 1+1 ",40.90959,29.21125
Asian Side Comfortable room,40.96217,29.09661
Private Room for Rent by Taksim,41.05187,28.98477
Room in Kadikoy,40.98605,29.03397
Double Room wth private garden@Pera,41.03148,28.97571
Fully furnished Flat in Old City,41.01808,28.94588
Area Apartments *Mis* Taksim    ,41.03589,28.98253
Private room central to Everywhere,40.99313,29.03461
Cozy Flat with TAKSIM Square View,41.03841,28.98338
Spacious Balcony Duplex Sultanahmet,41.00633,28.97045
Sea view Family Suite Sultanahmet,41.00633,28.97045
Super Luxury Farmhouse in Silivri,41.21394,28.08979
Seaview Penthouse Suite Sultanahmet,41.00637,28.9704
Spacious Garden Duplex Sultanahmet,41.00606,28.96999
"Sultanahmet - Istanbul, Tugra Suite",41.00417,28.96604
"Sultanahmet - Istanbul, Cumba Suite",41.00417,28.96604
"Sultanahmet-Istanbul, Sarnic Suite",41.00417,28.96604
Nice Flat at heart of İstiklal,41.03347,28.98069
Family Suite for 4 fully serviced in Nişantaşı,41.05003,28.99049
Deluxe 2 Br Apt Close 2 Blue Mosque,41.00249,28.97555
Stay Together Stay in Peace :),41.01584,29.01462
"Central, Easy Access in Sultanahmet",41.00673,28.97048
Beautiful Double Room in Besiktas,41.05167,29.00572
Superior Suite @CIHANGIR,41.03219,28.98618
Great Secure Suit at Taksim/Beyoglu,41.03892,28.98501
Cosy residence in Taksim district,41.02915,28.9813
erasmuslu ev arkdaşı ariyorum,41.04461,29.0021
"Urban Loft for 12 Guests - 5BR  - 4,5 BA  - Galata",41.02729,28.97531
Old Neighboor of Istanbul rent room,41.00044,28.932
"Great place in Buyukada, Istanbul!",40.87313,29.12668
Cozy and calm space in Tesvikiye,41.04892,28.99624
Bright clean near Istiklal Street ! (5),41.03948,28.98233
