NAME,LATITUDE,LONGITUDE,NEIGHBORHOOD_NAME
TUZLA,40.88408316,29.34923857,MESCİT
SULTANGAZİ,41.11363622,28.85721776,CEBECİ
KÜÇÜKÇEKMECE,41.0366427,28.79714928,HALKALI MERKEZ
ARNAVUTKÖY,41.13664862,28.811227,BOĞAZKÖY İSTİKLAL
BEYLİKDÜZÜ,40.9959898,28.60619924,GÜRPINAR
PENDİK,40.88608338,29.28652515,KAVAKPINAR
BAĞCILAR,41.02608257,28.81410163,BAĞLAR
BEYKOZ,41.12164292,29.14625501,ACARLAR
KÜÇÜKÇEKMECE,41.02885255,28.79068333,HALKALI MERKEZ
ATAŞEHİR,40.96618877,29.10487218,İÇERENKÖY
TUZLA,40.81945386,29.30622581,POSTANE
BAĞCILAR,41.04209302,28.8509598,YAVUZ SELİM
ZEYTİNBURNU,41.01519328,28.90779069,TOZKOPARAN
BEYLİKDÜZÜ,40.99610084,28.6252887,ADNAN KAHVECİ
ÇATALCA,41.17215571,28.50272719,İZZETTİN
BAKIRKÖY,40.99101598,28.87090283,KARTALTEPE
KARTAL,40.89677383,29.20341709,ÇAVUŞOĞLU
GAZİOSMANPAŞA,41.08065521,28.90724531,KARAYOLLARI
ŞİŞLİ,41.05601313,28.99761204,TEŞVİKİYE
ESENYURT,41.03602095,28.6240577,ATATÜRK
KARTAL,40.91117178,29.1816818,CEVİZLİ
ÜMRANİYE,41.03287382,29.11062108,SARAY
GÜNGÖREN,41.01724195,28.89044913,MEHMET NESİH ÖZMEN
ESENYURT,41.01346337,28.69537048,AKŞEMSEDDİN
FATİH,41.01876263,28.95443025,ZEYREK
SİLİVRİ,41.10371436,28.21939533,ALİPAŞA
ŞİLE,41.19080529,29.44725466,DOĞANCILI
KÜÇÜKÇEKMECE,41.06029844,28.78955456,ATATÜRK
BAĞCILAR,41.05805477,28.83089764,MAHMUTBEY
SANCAKTEPE,40.96642276,29.2165009,FATİH
BAYRAMPAŞA,41.04267971,28.89604688,ALTINTEPSİ
EYÜPSULTAN,41.19566588,28.82221018,
BAĞCILAR,41.03339729,28.85129206,YAVUZ SELİM
BEYKOZ,41.09474789,29.09756142,RÜZGARLIBAHÇE
